Id,paxCount,salesChannel,tripTypeDesc,purchaseLead,lengthOfStay,flightHour,flightDay,rout,geoNetworkCountry,baggageCategory,seatCategory,fnbCategory,insFlag,flightDurationHour,insFlagT,seatCategoryT,fnbCategoryT
1,2,Internet,RoundTrip,262,19,7,Sat,AKLDEL,New Zealand,1,0,0,0,5.52,No,No,No
2,1,Internet,RoundTrip,112,20,3,Sat,AKLDEL,New Zealand,0,0,0,0,5.52,No,No,No
3,2,Internet,RoundTrip,243,22,17,Wed,AKLDEL,India,1,1,0,0,5.52,No,Yes,No
4,1,Internet,RoundTrip,96,31,4,Sat,AKLDEL,New Zealand,0,0,1,0,5.52,No,No,Yes
5,2,Internet,RoundTrip,68,22,15,Wed,AKLDEL,India,1,0,1,0,5.52,No,No,Yes
6,1,Internet,RoundTrip,3,48,20,Thu,AKLDEL,New Zealand,1,0,1,0,5.52,No,No,Yes
7,3,Internet,RoundTrip,201,33,6,Thu,AKLDEL,New Zealand,1,0,1,0,5.52,No,No,Yes
8,2,Internet,RoundTrip,238,19,14,Mon,AKLDEL,India,1,0,1,0,5.52,No,No,Yes
9,1,Internet,RoundTrip,80,22,4,Mon,AKLDEL,New Zealand,0,0,1,0,5.52,No,No,Yes
10,1,Mobile,RoundTrip,378,30,12,Sun,AKLDEL,India,0,0,0,0,5.52,No,No,No
11,2,Internet,RoundTrip,185,25,14,Tue,AKLDEL,United Kingdom,1,1,1,0,5.52,No,Yes,Yes
12,1,Internet,RoundTrip,8,43,2,Sat,AKLDEL,New Zealand,1,1,1,0,5.52,No,Yes,Yes
13,4,Internet,RoundTrip,265,24,19,Mon,AKLDEL,New Zealand,1,0,1,0,5.52,No,No,Yes
14,1,Internet,RoundTrip,185,17,14,Fri,AKLDEL,India,0,0,0,0,5.52,No,No,No
15,1,Internet,RoundTrip,245,34,4,Tue,AKLDEL,New Zealand,1,1,1,0,5.52,No,Yes,Yes
16,1,Internet,RoundTrip,192,18,14,Thu,AKLDEL,India,1,0,0,0,5.52,No,No,No
17,1,Internet,RoundTrip,259,37,6,Sun,AKLDEL,India,0,0,0,0,5.52,No,No,No
18,1,Internet,RoundTrip,19,29,10,Sat,AKLDEL,New Zealand,0,0,1,0,5.52,No,No,Yes
19,1,Internet,RoundTrip,67,155,8,Sun,AKLDEL,New Zealand,1,0,0,0,5.52,No,No,No
20,1,Internet,RoundTrip,351,17,3,Sun,AKLHGH,China,0,0,0,0,5.07,No,No,No
21,2,Internet,CircleTrip,228,29,23,Wed,AKLHND,New Zealand,1,0,0,0,7.57,No,No,No
22,1,Internet,RoundTrip,21,88,9,Wed,AKLICN,South Korea,1,0,1,0,6.62,No,No,Yes
23,2,Internet,RoundTrip,23,19,8,Mon,AKLICN,New Zealand,1,0,1,0,6.62,No,No,Yes
24,2,Internet,RoundTrip,25,27,13,Fri,AKLICN,South Korea,1,0,1,0,6.62,No,No,Yes
25,1,Internet,RoundTrip,16,21,6,Thu,AKLICN,New Zealand,1,0,1,0,6.62,No,No,Yes
26,1,Internet,RoundTrip,66,20,7,Thu,AKLICN,South Korea,1,0,0,0,6.62,No,No,No
27,1,Internet,RoundTrip,51,28,6,Fri,AKLICN,South Korea,0,0,0,0,6.62,No,No,No
28,2,Internet,RoundTrip,37,24,7,Mon,AKLICN,New Zealand,1,0,0,0,6.62,No,No,No
29,1,Internet,RoundTrip,101,19,11,Tue,AKLICN,South Korea,1,0,1,0,6.62,No,No,Yes
30,1,Internet,RoundTrip,19,47,2,Tue,AKLICN,New Zealand,1,0,1,0,6.62,No,No,Yes
31,1,Internet,RoundTrip,16,35,23,Wed,AKLICN,New Zealand,1,1,0,0,6.62,No,Yes,No
32,2,Internet,RoundTrip,7,82,4,Thu,AKLICN,South Korea,1,0,1,0,6.62,No,No,Yes
33,1,Internet,RoundTrip,5,27,0,Fri,AKLICN,New Zealand,0,0,1,0,6.62,No,No,Yes
34,1,Internet,RoundTrip,185,34,4,Mon,AKLICN,New Zealand,1,0,1,0,6.62,No,No,Yes
35,1,Internet,RoundTrip,21,22,7,Fri,AKLICN,New Zealand,1,1,0,0,6.62,No,Yes,No
36,1,Internet,RoundTrip,7,27,4,Wed,AKLICN,New Zealand,0,0,1,0,6.62,No,No,Yes
37,1,Internet,RoundTrip,33,22,14,Sat,AKLICN,South Korea,1,0,0,0,6.62,No,No,No
38,6,Internet,RoundTrip,20,22,3,Fri,AKLICN,South Korea,1,1,1,0,6.62,No,Yes,Yes
39,2,Internet,RoundTrip,56,21,7,Thu,AKLICN,New Zealand,1,0,0,0,6.62,No,No,No
40,1,Internet,RoundTrip,3,33,1,Mon,AKLICN,South Korea,1,0,1,0,6.62,No,No,Yes
41,1,Internet,RoundTrip,13,26,7,Mon,AKLICN,South Korea,1,0,0,0,6.62,No,No,No
42,1,Internet,RoundTrip,71,90,7,Thu,AKLICN,South Korea,1,1,1,0,6.62,No,Yes,Yes
43,2,Internet,RoundTrip,346,23,8,Mon,AKLICN,South Korea,1,0,1,0,6.62,No,No,Yes
44,1,Internet,RoundTrip,9,84,7,Wed,AKLICN,New Zealand,1,0,0,0,6.62,No,No,No
45,1,Internet,RoundTrip,65,22,14,Thu,AKLICN,South Korea,1,0,0,0,6.62,No,No,No
46,1,Mobile,RoundTrip,221,61,2,Sun,AKLICN,New Zealand,0,0,0,0,6.62,No,No,No
47,1,Internet,RoundTrip,65,18,14,Wed,AKLICN,South Korea,0,0,1,0,6.62,No,No,Yes
